shortname,name,content
orgnr,Organisasjonsnr,
navn,Navn,
komnr,Kommunenr,
bygg_for_kg,Bygg for (kg),
bygg_sakorn_kg,Bygg såkorn (kg),
bygg_mat_kg,Bygg mat (kg),
erter_for_kg,Erter for (kg),
erter_mat_kg,Erter mat (kg),
erter_saakorn_kg,Erter såkorn (kg),
havre_for_kg,Havre for (kg),
havre_saakorn_kg,Havre såkorn (kg),
hvete_for_kg,Hvete for (kg),
hvete_mat_kg,Hvete mat (kg),
hvete_saakorn_kg,Hvete såkorn (kg),
oljefro_kg,Oljefrø (kg),
oljefro_saakorn_kg,Oljefrø såkorn (kg),
rug_for_kg,Rug for (kg),
rug_mat_kg,Rug mat (kg),
rug_saakorn_kg,Rug såkorn (kg),
rughvete_for_kg,Rughvete for (kg),
rughvete_saakorn_kg,Rughvete såkorn (kg),
